sensor_id,sensor_description,latitude,longitude
59,Building 80 RMIT,-37.80825648,144.96304859
20,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466
34,Flinders St-Spark La,-37.81537985,144.9741505
57,Bourke St Bridge,-37.8176735,144.95025595
40,Lonsdale St-Spring St (West),-37.80999341,144.97227588
31,Lygon St (West),-37.8016968,144.96658911
19,Chinatown-Swanston St (North),-37.81237202,144.96550671
37,Lygon St (East),-37.80310271,144.96671452
36,Queen St (West),-37.81652527,144.96121063
58,Bourke St - Spencer St (North),-37.81686074,144.95358075
8,Webb Bridge,-37.82293543,144.94717511
11,Waterfront City,-37.81564989,144.93970695
18,Collins Place (North),-37.81344861,144.97305354
49,QVM-Therry St (South),-37.80730067,144.95956055
26,QV Market-Elizabeth St (West),-37.80869542,144.96049404
16,Australia on Collins,-37.81573423,144.96521044
22,Flinders St-Elizabeth St (East),-37.81786445,144.96506823
24,Spencer St-Collins St (North),-37.81887962,144.95449198
27,QV Market-Peel St,-37.80606888,144.95644693
28,The Arts Centre,-37.82129924,144.96879309
44,Tin Alley-Swanston St (West),-37.79690473,144.96440378
48,QVM-Queen St (East),-37.80631581,144.95866698
51,QVM-Franklin St (North),-37.80841814,144.95906317
10,Victoria Point,-37.81876473,144.94710545
43,Monash Rd-Swanston St (West),-37.79844525,144.96411782
12,New Quay,-37.81457987,144.94292398
53,Collins Street (North),-37.8156419,144.965499
9,Southern Cross Station,-37.81982992,144.95102556
30,Lonsdale St (South),-37.81121849,144.96656807
6,Flinders Street Station Underpass,-37.81911704,144.96558256
38,Flinders St-Swanston St (West),-37.81723437,144.96715033
32,City Square,-37.81573742,144.96685718
4,Town Hall (West),-37.81487988,144.9660878
46,Pelham St (South),-37.80240719,144.96156731
56,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311
42,Grattan St-Swanston St (West),-37.80008565,144.96386412
5,Princes Bridge,-37.81874249,144.96787656
50,Faraday St-Lygon St (West),-37.79808191,144.96721014
52,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401
2,Bourke Street Mall (South),-37.81380667,144.96516719
35,Southbank,-37.82017828,144.96508877
1,Bourke Street Mall (North),-37.8134944,144.96515324
45,Little Collins St-Swanston St (East),-37.81414074,144.9660938
61,RMIT Building 14,-37.80767455,144.96309115
7,Birrarung Marr,-37.81862929,144.97169395
55,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331
62,La Trobe St (North),-37.80996494,144.96216521
14,Sandridge Bridge,-37.82011242,144.96291898
41,Flinders La-Swanston St (West),-37.81668633,144.96689733
25,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426
60,Flinders La - Swanston St (West) Temporary,-37.81668188,144.9668954
63,231 Bourke St,-37.81333081,144.96675572
64,Royal Pde - Grattan St,-37.79949544,144.95792282
39,Alfred Place,-37.81379749,144.96995745
17,Collins Place (South),-37.81362542,144.97323592
65,Swanston St - City Square,-37.81569416,144.96680641
66,State Library - New,-37.81057845,144.96444294
15,State Library,-37.81064378,144.96447132
67,Flinders Ln -Degraves St (South),-37.81688755,144.9656257
47,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077
54,Lincoln-Swanston (West),-37.804024,144.963084
68,Flinders Ln -Degraves St (North),-37.81684789,144.96559789
69,Flinders Ln -Degraves St (Crossing),-37.81687225,144.96559145
3,Melbourne Central,-37.81101523,144.96429485
29,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453
70,Errol Street (East),-37.80456984,144.94946229
71,Westwood Place,-37.81235775,144.97136962
21,Bourke St-Russell St (West),-37.81244703,144.96778757
23,Spencer St-Collins St (South),-37.81909256,144.95452749
33,Flinders St-Spring St (West),-37.81483252,144.97454056
13,Flagstaff Station,-37.81239679,144.95652653
72,Flinders St- ACMI,-37.81726337,144.96872809
